Reactant1;Reactant2;Product;Yield;temperature;ML;B;S;catalysts;ligands;bases;solvents
COc1ccc(C(C)(C)C)cc1B(O)O;Cc1ccc(Br)nc1;COc1ccc(C(C)(C)C)cc1-c1ccc(C)cn1;99.0;20;M3M;B12B;S28S;c1ccc([P](c2ccccc2)(c2ccccc2)[Pd]([P](c2ccccc2)(c2ccccc2)c2ccccc2)([P](c2ccccc2)(c2ccccc2)c2ccccc2)[P](c2ccccc2)(c2ccccc2)c2ccccc2)cc1;;O=C([O-])[O-].[K+].[K+];COCCOC[SPLIT]O
O=C(O)c1cccc(B(O)O)c1;Brc1ccncc1;O=C(O)c1cccc(-c2ccncc2)c1;83.35;20;M1M;B12B;S29S;Cl[Pd](Cl)([P](c1ccccc1)(c1ccccc1)c1ccccc1)[P](c1ccccc1)(c1ccccc1)c1ccccc1;;O=C([O-])[O-].[K+].[K+];CC#N[SPLIT]O
OB(O)c1ccc(Cl)cc1;O=C(c1nc(Br)cs1)N1CC2CCC(C1)O2;O=C(c1nc(-c2ccc(Cl)cc2)cs1)N1CC2CCC(C1)O2;57.7;20;M3M;B12B;S18S;c1ccc([P](c2ccccc2)(c2ccccc2)[Pd]([P](c2ccccc2)(c2ccccc2)c2ccccc2)([P](c2ccccc2)(c2ccccc2)c2ccccc2)[P](c2ccccc2)(c2ccccc2)c2ccccc2)cc1;;O=C([O-])[O-].[K+].[K+];CCO[SPLIT]Cc1ccccc1
OB(O)c1ccco1;O=C(CC(=O)C(F)(F)F)c1ccc(Br)cc1;O=C(CC(=O)C(F)(F)F)c1ccc(-c2ccco2)cc1;61.2;20;M6M;B12B;S21S;Cl[Pd]Cl;c1ccc(P(c2ccccc2)c2ccccc2)cc1;O=C([O-])O.[Na+];COCCOC
O=Cc1ccc(B(O)O)cc1;COC(=O)c1cc(Br)cs1;COC(=O)c1cc(-c2ccc(C=O)cc2)cs1;72.5;20;M3M;B12B;S21S;c1ccc([P](c2ccccc2)(c2ccccc2)[Pd]([P](c2ccccc2)(c2ccccc2)c2ccccc2)([P](c2ccccc2)(c2ccccc2)c2ccccc2)[P](c2ccccc2)(c2ccccc2)c2ccccc2)cc1;;O=C([O-])[O-].[Na+].[Na+];C1CCOC1
CC1(C)CCc2cc(B(O)O)ccc2O1;CCCc1nc(C)c(Br)c(=O)n1Cc1ccc(-c2ccccc2C#N)cc1;CCCc1nc(C)c(-c2ccc3c(c2)CCC(C)(C)O3)c(=O)n1Cc1ccc(-c2ccccc2C#N)cc1;48.8;20;M0M;B12B;S22S;Cl[Pd]Cl;[Fe+2].c1ccc(P(c2ccccc2)[c-]2cccc2)cc1.c1ccc(P(c2ccccc2)[c-]2cccc2)cc1;O=C([O-])[O-].[Cs+].[Cs+];C1COCCO1[SPLIT]CCOC(C)=O
COc1ncc(B(O)O)cc1Cl;CC(C)(C)OC(=O)N1CC[C@H](Oc2ccc3nccc(Br)c3c2)C1;COc1ncc(-c2ccnc3ccc(O[C@H]4CCN(C(=O)OC(C)(C)C)C4)cc23)cc1Cl;82.65;20;M1M;B16B;S22S;Cl[Pd](Cl)([P](c1ccccc1)(c1ccccc1)c1ccccc1)[P](c1ccccc1)(c1ccccc1)c1ccccc1;;O=P([O-])([O-])[O-].[K+].[K+].[K+];CC#N[SPLIT]ClCCl[SPLIT]O
OB(O)c1ccc(Cl)cc1;Fc1cccc(-c2nc(Br)cs2)n1;Fc1cccc(-c2nc(-c3ccc(Cl)cc3)cs2)n1;95.25;20;M7M;B12B;S18S;[Pd];c1ccc(P(c2ccccc2)c2ccccc2)cc1;O=C([O-])[O-].[K+].[K+];CCO[SPLIT]Cc1ccccc1
OB(O)c1ccccc1;C[Si](C)(C)CCOCn1c(I)cc2c(Cl)ccnc21;C[Si](C)(C)CCOCn1c(-c2ccccc2)cc2c(Cl)ccnc21;63.2;20;M3M;B12B;S21S;c1ccc([P](c2ccccc2)(c2ccccc2)[Pd]([P](c2ccccc2)(c2ccccc2)c2ccccc2)([P](c2ccccc2)(c2ccccc2)c2ccccc2)[P](c2ccccc2)(c2ccccc2)c2ccccc2)cc1;;O=C([O-])[O-].[K+].[K+];C1COCCO1
OB(O)c1ccc(F)c(F)c1F;CC(C)n1cc(C=O)c2c(Br)cccc21;CC(C)n1cc(C=O)c2c(-c3ccc(F)c(F)c3F)cccc21;68.7;20;M8M;B12B;S28S;Cl[Pd]Cl;CC(C)(C)P([c-]1cccc1)C(C)(C)C.CC(C)(C)P([c-]1cccc1)C(C)(C)C.[Fe+2];O=C([O-])[O-].[K+].[K+];C1COCCO1[SPLIT]O
N#Cc1cccc(B(O)O)c1;CCc1cc(Br)c(C)[nH]c1=O;CCc1cc(-c2cccc(C#N)c2)c(C)[nH]c1=O;36.0;20;M7M;B12B;S20S;[Pd];c1ccc(P(c2ccccc2)c2ccccc2)cc1;O=C([O-])[O-].[Na+].[Na+];Cc1ccccc1
COc1ccc(B(O)O)cc1;CC(C)(C)OC(=O)c1cc(Br)sc1NC(=O)Nc1c(Cl)cccc1Cl;COc1ccc(-c2cc(C(=O)OC(C)(C)C)c(NC(=O)Nc3c(Cl)cccc3Cl)s2)cc1;66.0;20;M1M;B12B;S21S;Cl[Pd](Cl)([P](c1ccccc1)(c1ccccc1)c1ccccc1)[P](c1ccccc1)(c1ccccc1)c1ccccc1;;O=C([O-])[O-].[Na+].[Na+];COCCOC
OB(O)c1ccccc1O;CC(C)(C)OC(=O)N1CCN(C(=O)c2sccc2Br)[C@H](Cc2ccccc2)C1;CC(C)(C)OC(=O)N1CCN(C(=O)c2sccc2-c2ccccc2O)[C@H](Cc2ccccc2)C1;39.95;20;M3M;B12B;S28S;c1ccc([P](c2ccccc2)(c2ccccc2)[Pd]([P](c2ccccc2)(c2ccccc2)c2ccccc2)([P](c2ccccc2)(c2ccccc2)c2ccccc2)[P](c2ccccc2)(c2ccccc2)c2ccccc2)cc1;;O=C([O-])[O-].[Na+].[Na+];COCCOC[SPLIT]O
OB(O)c1ccc(Cl)cc1;Brc1cccnc1;Clc1ccc(-c2cccnc2)cc1;50.0;20;M7M;B12B;S21S;[Pd];c1ccc(P(c2ccccc2)c2ccccc2)cc1;O=C([O-])[O-].[K+].[K+];C1CCOC1
OB(O)c1ccc(Br)cc1;Cc1noc(C)c1I;Cc1noc(C)c1-c1ccc(Br)cc1;85.5;20;M1M;B12B;S28S;Cl[Pd](Cl)([P](c1ccccc1)(c1ccccc1)c1ccccc1)[P](c1ccccc1)(c1ccccc1)c1ccccc1;;O=C([O-])O.[Na+];COCCOC[SPLIT]O
COC(=O)c1cccc(B(O)O)c1;Brc1cccc(N2CCCC2)n1;COC(=O)c1cccc(-c2cccc(N3CCCC3)n2)c1;67.8;20;M3M;B12B;S22S;c1ccc([P](c2ccccc2)(c2ccccc2)[Pd]([P](c2ccccc2)(c2ccccc2)c2ccccc2)([P](c2ccccc2)(c2ccccc2)c2ccccc2)[P](c2ccccc2)(c2ccccc2)c2ccccc2)cc1;;O=C([O-])O.[Na+];CCOC(C)=O[SPLIT]COCCOC[SPLIT]O
OB(O)c1ccsc1;Fc1cc(Br)cc(Br)c1;Fc1cc(Br)cc(-c2ccsc2)c1;78.2;20;M3M;B12B;S22S;c1ccc([P](c2ccccc2)(c2ccccc2)[Pd]([P](c2ccccc2)(c2ccccc2)c2ccccc2)([P](c2ccccc2)(c2ccccc2)c2ccccc2)[P](c2ccccc2)(c2ccccc2)c2ccccc2)cc1;;O=C([O-])[O-].[Na+].[Na+];CCO[SPLIT]CCOC(C)=O[SPLIT]Cc1ccccc1
CCOc1cccc(B(O)O)c1;O=C(O)c1ccc(Br)nc1;CCOc1cccc(-c2ccc(C(=O)O)cn2)c1;24.1;20;M6M;B12B;S22S;Cl[Pd]Cl;c1ccc(P(c2ccccc2)c2ccccc2)cc1;O=C([O-])[O-].[Na+].[Na+];CCOC(C)=O[SPLIT]COCCOC[SPLIT]O
CCCCCc1ccc(B(O)O)cc1;CC(C)(C)OC(=O)C1(S(=O)(=O)c2ccc(Br)nc2)CCOCC1;CCCCCc1ccc(-c2ccc(S(=O)(=O)C3(C(=O)OC(C)(C)C)CCOCC3)cn2)cc1;93.2;20;M3M;B12B;S21S;c1ccc([P](c2ccccc2)(c2ccccc2)[Pd]([P](c2ccccc2)(c2ccccc2)c2ccccc2)([P](c2ccccc2)(c2ccccc2)c2ccccc2)[P](c2ccccc2)(c2ccccc2)c2ccccc2)cc1;;O=C([O-])[O-].[Na+].[Na+];COCCOC
Nc1ncc(B(O)O)cn1;Cc1cc(C)c(CNC(=O)c2cc(Br)nc3c2cnn3C(C)C)c(=O)[nH]1;Cc1cc(C)c(CNC(=O)c2cc(-c3cnc(N)nc3)nc3c2cnn3C(C)C)c(=O)[nH]1;45.0;20;M3M;B12B;S22S;c1ccc([P](c2ccccc2)(c2ccccc2)[Pd]([P](c2ccccc2)(c2ccccc2)c2ccccc2)([P](c2ccccc2)(c2ccccc2)c2ccccc2)[P](c2ccccc2)(c2ccccc2)c2ccccc2)cc1;;O=C([O-])[O-].[Na+].[Na+];C1COCCO1[SPLIT]CCOC(C)=O[SPLIT]O
OB(O)c1ccccc1;CC(C)(C)OC(=O)N1CCC[C@H](Nc2c(C(N)=O)cnn3cc(Br)cc23)C1;CC(C)(C)OC(=O)N1CCC[C@H](Nc2c(C(N)=O)cnn3cc(-c4ccccc4)cc23)C1;85.05;20;M0M;B16B;S22S;Cl[Pd]Cl;[Fe+2].c1ccc(P(c2ccccc2)[c-]2cccc2)cc1.c1ccc(P(c2ccccc2)[c-]2cccc2)cc1;O=P([O-])([O-])[O-].[K+].[K+].[K+];CCOC(C)=O[SPLIT]CN(C)C=O
O=Cc1cccc(B(O)O)c1;Cc1ccc(-c2cc3cc(Br)ccn3n2)cc1;Cc1ccc(-c2cc3cc(-c4cccc(C=O)c4)ccn3n2)cc1;65.1;20;M0M;B12B;S22S;Cl[Pd]Cl;[Fe+2].c1ccc(P(c2ccccc2)[c-]2cccc2)cc1.c1ccc(P(c2ccccc2)[c-]2cccc2)cc1;O=C([O-])[O-].[Cs+].[Cs+];C1CCOC1[SPLIT]CCOC(C)=O[SPLIT]O
OB(O)c1cccc(O)c1;CCOC(=O)Cc1cc(C(=O)c2ccc3cc(-c4ccc(C(=O)OCc5ccccc5)cc4)n(CCCCN4C(=O)c5ccccc5C4=O)c3c2)sc1Br;CCOC(=O)Cc1cc(C(=O)c2ccc3cc(-c4ccc(C(=O)OCc5ccccc5)cc4)n(CCCCN4C(=O)c5ccccc5C4=O)c3c2)sc1-c1cccc(O)c1;81.8;20;M3M;B13B;S28S;c1ccc([P](c2ccccc2)(c2ccccc2)[Pd]([P](c2ccccc2)(c2ccccc2)c2ccccc2)([P](c2ccccc2)(c2ccccc2)c2ccccc2)[P](c2ccccc2)(c2ccccc2)c2ccccc2)cc1;;[Cs+].[F-];COCCOC[SPLIT]O
OB(O)c1c(-c2ccccn2)nn2c1CCC2;Brc1cnn2cccnc12;c1ccc(-c2nn3c(c2-c2cnn4cccnc24)CCC3)nc1;4.5;20;M4M;B12B;S22S;[Pd].[Pd];O=C(/C=C/c1ccccc1)/C=C/c1ccccc1.c1ccc(P(c2ccccc2)c2ccccc2)cc1;O=C([O-])[O-].[K+].[K+];C1COCCO1[SPLIT]CCOC(C)=O
CN(C)c1cccc(B(O)O)c1;Brc1nn2c(I)cnc2s1;CN(C)c1cccc(-c2nn3c(I)cnc3s2)c1;21.2;20;M3M;B12B;S28S;c1ccc([P](c2ccccc2)(c2ccccc2)[Pd]([P](c2ccccc2)(c2ccccc2)c2ccccc2)([P](c2ccccc2)(c2ccccc2)c2ccccc2)[P](c2ccccc2)(c2ccccc2)c2ccccc2)cc1;;O=C([O-])[O-].[Cs+].[Cs+];C1COCCO1[SPLIT]O
Cc1ccc(C)c(B(O)O)c1;Nc1nc(N)c2ccc(Br)cc2n1;Cc1ccc(C)c(-c2ccc3c(N)nc(N)nc3c2)c1;80.5;20;M3M;B12B;S22S;c1ccc([P](c2ccccc2)(c2ccccc2)[Pd]([P](c2ccccc2)(c2ccccc2)c2ccccc2)([P](c2ccccc2)(c2ccccc2)c2ccccc2)[P](c2ccccc2)(c2ccccc2)c2ccccc2)cc1;;O=C([O-])[O-].[Na+].[Na+];CCO[SPLIT]COCCOC[SPLIT]O
OCc1ccc(B(O)O)cc1;Fc1ccc(Br)nc1;OCc1ccc(-c2ccc(F)cn2)cc1;45.9;20;M0M;B12B;S18S;Cl[Pd]Cl;[Fe+2].c1ccc(P(c2ccccc2)[c-]2cccc2)cc1.c1ccc(P(c2ccccc2)[c-]2cccc2)cc1;O=C([O-])O.O=C([O-])[O-].[Na+].[Na+].[Na+];CCO[SPLIT]Cc1ccccc1
COC(=O)c1ccc(B(O)O)cc1OC;Brc1cnc2c(N3CCOCC3)snc2c1;COC(=O)c1ccc(-c2cnc3c(N4CCOCC4)snc3c2)cc1OC;66.0;20;M3M;B12B;S22S;c1ccc([P](c2ccccc2)(c2ccccc2)[Pd]([P](c2ccccc2)(c2ccccc2)c2ccccc2)([P](c2ccccc2)(c2ccccc2)c2ccccc2)[P](c2ccccc2)(c2ccccc2)c2ccccc2)cc1;;O=C([O-])[O-].[K+].[K+];
Cn1c(C#N)ccc1B(O)O;CCN(CC)S(=O)(=O)c1ccc(Br)c(F)c1;CCN(CC)S(=O)(=O)c1ccc(-c2ccc(C#N)n2C)c(F)c1;23.1;20;M9M;B13B;S22S;[Pd].[Pd];CC(C)(C)P(C(C)(C)C)C(C)(C)C.O=C(/C=C/c1ccccc1)/C=C/c1ccccc1;[F-].[K+];
CC(C)(C)OC(=O)NCc1ccc(B(O)O)cc1;Cn1ccnc1Br;Cn1ccnc1-c1ccc(CNC(=O)OC(C)(C)C)cc1;83.25;20;M7M;B12B;S22S;[Pd];c1ccc(P(c2ccccc2)c2ccccc2)cc1;O=C([O-])[O-].[K+].[K+];CCOC(C)=O[SPLIT]Cc1ccccc1
OB(O)c1ccccc1;O=c1c2ccccc2nc(-c2cncc(Br)c2)n1-c1ccc(Cl)cc1;O=c1c2ccccc2nc(-c2cncc(-c3ccccc3)c2)n1-c1ccc(Cl)cc1;37.05;20;M3M;B12B;S21S;c1ccc([P](c2ccccc2)(c2ccccc2)[Pd]([P](c2ccccc2)(c2ccccc2)c2ccccc2)([P](c2ccccc2)(c2ccccc2)c2ccccc2)[P](c2ccccc2)(c2ccccc2)c2ccccc2)cc1;;O=C([O-])[O-].[Na+].[Na+];COCCOC
OB(O)c1ccncc1;COc1ccc(Br)cc1CC1COC(C)(C)O1;COc1ccc(-c2ccncc2)cc1CC1COC(C)(C)O1;85.2;20;M0M;B12B;S22S;Cl[Pd]Cl;[Fe+2].c1ccc(P(c2ccccc2)[c-]2cccc2)cc1.c1ccc(P(c2ccccc2)[c-]2cccc2)cc1;O=C([O-])[O-].[Na+].[Na+];CCOC(C)=O[SPLIT]COCCOC[SPLIT]O
OB(O)c1ccc(Cl)cc1Cl;COC(=O)c1nc(N[C@@H]2c3ccccc3C[C@@H]2O)cnc1Br;COC(=O)c1nc(N[C@@H]2c3ccccc3C[C@@H]2O)cnc1-c1ccc(Cl)cc1Cl;59.05;20;M3M;B15B;S22S;c1ccc([P](c2ccccc2)(c2ccccc2)[Pd]([P](c2ccccc2)(c2ccccc2)c2ccccc2)([P](c2ccccc2)(c2ccccc2)c2ccccc2)[P](c2ccccc2)(c2ccccc2)c2ccccc2)cc1;;;
OB(O)c1ccsc1;Brc1cncc(-c2nc(-c3ccccn3)no2)c1;c1ccc(-c2noc(-c3cncc(-c4ccsc4)c3)n2)nc1;7.75;20;M3M;B12B;S21S;c1ccc([P](c2ccccc2)(c2ccccc2)[Pd]([P](c2ccccc2)(c2ccccc2)c2ccccc2)([P](c2ccccc2)(c2ccccc2)c2ccccc2)[P](c2ccccc2)(c2ccccc2)c2ccccc2)cc1;;O=C([O-])[O-].[Na+].[Na+];COCCOC
OB(O)c1cnn(-c2ccc(F)cc2)c1;CC(C)(C)OC(=O)N1CCO[C@@H](c2ccc(Br)cc2)C1;CC(C)(C)OC(=O)N1CCO[C@@H](c2ccc(-c3cnn(-c4ccc(F)cc4)c3)cc2)C1;36.3;20;M3M;B16B;S26S;c1ccc([P](c2ccccc2)(c2ccccc2)[Pd]([P](c2ccccc2)(c2ccccc2)c2ccccc2)([P](c2ccccc2)(c2ccccc2)c2ccccc2)[P](c2ccccc2)(c2ccccc2)c2ccccc2)cc1;;O=P([O-])([O-])[O-].[K+].[K+].[K+];CC(=O)N(C)C[SPLIT]O
OB(O)c1cccc(F)c1;CC(N=[N+]=[N-])c1nc2sccn2c(=O)c1Br;CC(N=[N+]=[N-])c1nc2sccn2c(=O)c1-c1cccc(F)c1;63.2;20;M3M;B12B;S22S;c1ccc([P](c2ccccc2)(c2ccccc2)[Pd]([P](c2ccccc2)(c2ccccc2)c2ccccc2)([P](c2ccccc2)(c2ccccc2)c2ccccc2)[P](c2ccccc2)(c2ccccc2)c2ccccc2)cc1;;O=C([O-])[O-].[Na+].[Na+];C1COCCO1[SPLIT]CCOC(C)=O[SPLIT]O
OB(O)c1ccoc1;COc1ccc(-c2nn(COCC[Si](C)(C)C)c3c2Cc2sc(Br)cc2-3)cc1;COc1ccc(-c2nn(COCC[Si](C)(C)C)c3c2Cc2sc(-c4ccoc4)cc2-3)cc1;67.0;20;M1M;B12B;S18S;Cl[Pd](Cl)([P](c1ccccc1)(c1ccccc1)c1ccccc1)[P](c1ccccc1)(c1ccccc1)c1ccccc1;;O=C([O-])[O-].[Na+].[Na+];CCO[SPLIT]Cc1ccccc1
OB(O)c1cc(O)cc(F)c1;CC(c1oc(=O)c2ccccc2c1-c1cccc(C2OC(C)(C)C(C)(C)O2)c1)n1nc(I)c2c(N)ncnc21;CC(c1oc(=O)c2ccccc2c1-c1cccc(C2OC(C)(C)C(C)(C)O2)c1)n1nc(-c2cc(O)cc(F)c2)c2c(N)ncnc21;73.7;20;M0M;B12B;S22S;Cl[Pd]Cl;[Fe+2].c1ccc(P(c2ccccc2)[c-]2cccc2)cc1.c1ccc(P(c2ccccc2)[c-]2cccc2)cc1;O=C([O-])[O-].[K+].[K+];C1COCCO1[SPLIT]ClCCl
OB(O)c1cccc2ccncc12;CC(C)(C)NC(=O)c1c[nH]c2ncc(Br)nc12;CC(C)(C)NC(=O)c1c[nH]c2ncc(-c3cccc4ccncc34)nc12;65.65;20;M0M;B12B;S28S;[Pd].[Pd];CC(C)c1cc(C(C)C)c(-c2ccccc2P(C2CCCCC2)C2CCCCC2)c(C(C)C)c1.O=C(/C=C/c1ccccc1)/C=C/c1ccccc1;O=C([O-])[O-].[Na+].[Na+];C1COCCO1[SPLIT]O
OB(O)c1ccccc1;CC(=O)c1ccc(Br)nc1;CC(=O)c1ccc(-c2ccccc2)nc1;51.5;20;M1M;B12B;S29S;Cl[Pd](Cl)([P](c1ccccc1)(c1ccccc1)c1ccccc1)[P](c1ccccc1)(c1ccccc1)c1ccccc1;;O=C([O-])[O-].[Na+].[Na+];CC#N[SPLIT]O
OB(O)c1cccnc1;COc1cccc2c1Oc1cc(Br)ccc1C2C1CCNCC1;COc1cccc2c1Oc1cc(-c3cccnc3)ccc1C2C1CCNCC1;0.6;20;M0M;B12B;S22S;Cl[Pd]Cl;[Fe+2].c1ccc(P(c2ccccc2)[c-]2cccc2)cc1.c1ccc(P(c2ccccc2)[c-]2cccc2)cc1;O=C([O-])[O-].[Na+].[Na+];
OB(O)c1ccc(CN2CCCCC2)cc1;COCCOc1c(C#N)ncc2[nH]c3ncc(Br)cc3c12;COCCOc1c(C#N)ncc2[nH]c3ncc(-c4ccc(CN5CCCCC5)cc4)cc3c12;31.85;20;M0M;B12B;S29S;Cl[Pd]Cl;[Fe+2].c1ccc(P(c2ccccc2)[c-]2cccc2)cc1.c1ccc(P(c2ccccc2)[c-]2cccc2)cc1;O=C([O-])[O-].[Na+].[Na+];CC#N[SPLIT]O
OB(O)c1ccc(F)c(F)c1;CS(=O)(=O)CCNC(=O)c1ccc2cncc(Br)c2n1;CS(=O)(=O)CCNC(=O)c1ccc2cncc(-c3ccc(F)c(F)c3)c2n1;94.1;20;M0M;B12B;S28S;Cl[Pd]Cl;[Fe+2].c1ccc(P(c2ccccc2)[c-]2cccc2)cc1.c1ccc(P(c2ccccc2)[c-]2cccc2)cc1;O=C([O-])[O-].[Cs+].[Cs+];C1COCCO1[SPLIT]O
OB(O)c1cncnc1;Brc1cncc(-c2nc(-c3ccccn3)no2)c1;c1ccc(-c2noc(-c3cncc(-c4cncnc4)c3)n2)nc1;7.6;20;M3M;B12B;S21S;c1ccc([P](c2ccccc2)(c2ccccc2)[Pd]([P](c2ccccc2)(c2ccccc2)c2ccccc2)([P](c2ccccc2)(c2ccccc2)c2ccccc2)[P](c2ccccc2)(c2ccccc2)c2ccccc2)cc1;;O=C([O-])[O-].[Na+].[Na+];COCCOC
OB(O)c1ccccc1;Cc1ccc(S(=O)(=O)n2cc(I)c3cc(N4CC(NC(=O)OC(C)(C)C)C4)cnc32)cc1;Cc1ccc(S(=O)(=O)n2cc(-c3ccccc3)c3cc(N4CC(NC(=O)OC(C)(C)C)C4)cnc32)cc1;52.95;20;M0M;B12B;S28S;Cl[Pd]Cl;[Fe+2].c1ccc(P(c2ccccc2)[c-]2cccc2)cc1.c1ccc(P(c2ccccc2)[c-]2cccc2)cc1;O=C([O-])[O-].[K+].[K+];C1COCCO1[SPLIT]O
OB(O)c1cccc(-n2cccn2)c1;CC(=O)OC[C@H]1O[C@@H](n2cnc3c(Br)ncnc32)[C@@H]2OC(C)(C)O[C@@H]21;CC(=O)OC[C@H]1O[C@@H](n2cnc3c(-c4cccc(-n5cccn5)c4)ncnc32)[C@@H]2OC(C)(C)O[C@@H]21;52.95;20;M0M;B16B;S22S;Cl[Pd]Cl;[Fe+2].c1ccc(P(c2ccccc2)[c-]2cccc2)cc1.c1ccc(P(c2ccccc2)[c-]2cccc2)cc1;O=P([O-])([O-])[O-].[K+].[K+].[K+];ClCCl
CS(=O)c1ccc(B(O)O)cc1;CC(C)(C)[Si](C)(C)OCCOc1ccc(C=O)nc1Br;CS(=O)c1ccc(-c2nc(C=O)ccc2OCCO[Si](C)(C)C(C)(C)C)cc1;71.85;20;M3M;B12B;S25S;c1ccc([P](c2ccccc2)(c2ccccc2)[Pd]([P](c2ccccc2)(c2ccccc2)c2ccccc2)([P](c2ccccc2)(c2ccccc2)c2ccccc2)[P](c2ccccc2)(c2ccccc2)c2ccccc2)cc1;;O=C([O-])[O-].[Na+].[Na+];CCO[SPLIT]Cc1ccccc1[SPLIT]O
C=Cc1ccccc1B(O)O;COC(=O)c1cc2[nH]c(Br)c(C3CCCCC3)c2s1;C=Cc1ccccc1-c1[nH]c2cc(C(=O)OC)sc2c1C1CCCCC1;71.0;20;M1M;B12B;S21S;Cl[Pd](Cl)([P](c1ccccc1)(c1ccccc1)c1ccccc1)[P](c1ccccc1)(c1ccccc1)c1ccccc1;;O=C([O-])[O-].[Na+].[Na+];C1COCCO1
