canonical_rxn,catalyst1,solvent1,solvent2,reagent1,reagent2,Yield,dataset
CC(C)(C)OC(=O)N[C@H]1CC[C@@H](n2c(=O)c3cc(F)cnc3n(-c3cccc(I)c3)c2=O)CC1.CN(C)Cc1ccccc1B(O)O>>CN(C)Cc1ccccc1-c1cccc(-n2c(=O)n([C@H]3CC[C@@H](NC(=O)OC(C)(C)C)CC3)c(=O)c3cc(F)cnc32)c1,CC(=O)[O-].CC(=O)[O-].[Pd+2],CC#N,O,COc1cccc(OC)c1-c1ccccc1P(C1CCCCC1)C1CCCCC1,O=C([O-])[O-].[K+].[K+],36.0,test
Ic1ccc2nccn2c1.OB(O)c1c(-c2ccccn2)nn2c1CCC2>>c1ccc(-c2nn3c(c2-c2ccc4nccn4c2)CCC3)nc1,c1ccc([P](c2ccccc2)(c2ccccc2)[Pd]([P](c2ccccc2)(c2ccccc2)c2ccccc2)([P](c2ccccc2)(c2ccccc2)c2ccccc2)[P](c2ccccc2)(c2ccccc2)c2ccccc2)cc1,CC#N,O,,O=C([O-])O.[Na+],71.95,test
CC(C)(C)[Si](C)(C)OCc1cncc(B(O)O)c1.CCOCc1nc2c(N)nc3cc(Br)cnc3c2n1CC(C)(C)O>>CCOCc1nc2c(N)nc3cc(-c4cncc(CO[Si](C)(C)C(C)(C)C)c4)cnc3c2n1CC(C)(C)O,Cl[Pd](Cl)([P](c1ccccc1)(c1ccccc1)c1ccccc1)[P](c1ccccc1)(c1ccccc1)c1ccccc1,COCCOC,O,,O=C([O-])[O-].[K+].[K+],67.2,test
NC(=O)C1CCN(c2ccncc2Br)CC1.OB(O)c1cn[nH]c1>>NC(=O)C1CCN(c2ccncc2-c2cn[nH]c2)CC1,c1ccc([P](c2ccccc2)(c2ccccc2)[Pd]([P](c2ccccc2)(c2ccccc2)c2ccccc2)([P](c2ccccc2)(c2ccccc2)c2ccccc2)[P](c2ccccc2)(c2ccccc2)c2ccccc2)cc1,CC#N,,,O=C([O-])[O-].[Na+].[Na+],46.0,train
COc1ncc(B(O)O)c(OC)n1.Ic1cnccn1>>COc1ncc(-c2cnccn2)c(OC)n1,CC(=O)[O-].CC(=O)[O-].[Pd+2],CCCO,,c1ccc(P(c2ccccc2)c2ccccc2)cc1,O=C([O-])[O-].[Na+].[Na+],45.2,test
O=C(c1nc2c(C(F)(F)F)cc(Br)cn2c1Cl)N1CCC(c2ccc(F)cc2)C1.OB(O)c1ccoc1>>O=C(c1nc2c(C(F)(F)F)cc(-c3ccoc3)cn2c1Cl)N1CCC(c2ccc(F)cc2)C1,c1ccc([P](c2ccccc2)(c2ccccc2)[Pd]([P](c2ccccc2)(c2ccccc2)c2ccccc2)([P](c2ccccc2)(c2ccccc2)c2ccccc2)[P](c2ccccc2)(c2ccccc2)c2ccccc2)cc1,C1COCCO1,CCOC(C)=O,,O=P([O-])([O-])[O-].[K+].[K+].[K+],91.2,test
CN1C(=O)[C@@H](N)COc2ccc(Br)cc21.OB(O)c1cc[nH]n1>>CN1C(=O)[C@@H](N)COc2ccc(-c3cc[nH]n3)cc21,c1ccc([P](c2ccccc2)(c2ccccc2)[Pd]([P](c2ccccc2)(c2ccccc2)c2ccccc2)([P](c2ccccc2)(c2ccccc2)c2ccccc2)[P](c2ccccc2)(c2ccccc2)c2ccccc2)cc1,COCCOC,O,,O=C([O-])[O-].[Na+].[Na+],60.0,test
Brc1ccc2ncc(I)n2c1.OB(O)c1ccncc1>>Brc1ccc2ncc(-c3ccncc3)n2c1,c1ccc([P](c2ccccc2)(c2ccccc2)[Pd]([P](c2ccccc2)(c2ccccc2)c2ccccc2)([P](c2ccccc2)(c2ccccc2)c2ccccc2)[P](c2ccccc2)(c2ccccc2)c2ccccc2)cc1,C1COCCO1,,,,38.05,train
Nc1ncc(Br)cc1OCc1ccccc1C(F)(F)F.O=C(O)c1ccc(B(O)O)cc1>>Nc1ncc(-c2ccc(C(=O)O)cc2)cc1OCc1ccccc1C(F)(F)F,[Pd],CN(C)C=O,O,c1ccc(P(c2ccccc2)c2ccccc2)cc1,O=C([O-])[O-].[K+].[K+],69.2,test
CS(=O)(=O)c1ccc(Br)cn1.OB(O)c1ccc(O)cc1>>CS(=O)(=O)c1ccc(-c2ccc(O)cc2)cn1,c1ccc([P](c2ccccc2)(c2ccccc2)[Pd]([P](c2ccccc2)(c2ccccc2)c2ccccc2)([P](c2ccccc2)(c2ccccc2)c2ccccc2)[P](c2ccccc2)(c2ccccc2)c2ccccc2)cc1,COCCOC,,,O=C([O-])[O-].[Na+].[Na+],78.9,train
Brc1cncc(C2CC2)n1.OB(O)c1ccc2[nH]ccc2c1>>c1cc2cc(-c3cncc(C4CC4)n3)ccc2[nH]1,c1ccc([P](c2ccccc2)(c2ccccc2)[Pd]([P](c2ccccc2)(c2ccccc2)c2ccccc2)([P](c2ccccc2)(c2ccccc2)c2ccccc2)[P](c2ccccc2)(c2ccccc2)c2ccccc2)cc1,C1COCCO1,,,O=C([O-])[O-].[Na+].[Na+],76.05,train
O=C(/C=C\C(=O)N1CCOCC1)Nc1cc(Br)ccn1.OB(O)c1ccccc1>>O=C(/C=C\C(=O)N1CCOCC1)Nc1cc(-c2ccccc2)ccn1,Cl[Pd]Cl,CCOCC,O,[Fe+2].c1ccc(P(c2ccccc2)[c-]2cccc2)cc1.c1ccc(P(c2ccccc2)[c-]2cccc2)cc1,O=C([O-])[O-].[Na+].[Na+],36.1,test
N#Cc1c(O)c2c(ccn2-c2ccc(Br)cc2)[nH]c1=O.OB(O)c1ccc(F)nc1>>N#Cc1c(O)c2c(ccn2-c2ccc(-c3ccc(F)nc3)cc2)[nH]c1=O,c1ccc([P](c2ccccc2)(c2ccccc2)[Pd]([P](c2ccccc2)(c2ccccc2)c2ccccc2)([P](c2ccccc2)(c2ccccc2)c2ccccc2)[P](c2ccccc2)(c2ccccc2)c2ccccc2)cc1,C1COCCO1,O,,O=C([O-])[O-].[Cs+].[Cs+],1.422,train
COc1c(C)cc(C2(c3cccc(Br)c3)N=C(N)c3ncccc32)cc1F.OB(O)c1cncnc1>>COc1c(C)cc(C2(c3cccc(-c4cncnc4)c3)N=C(N)c3ncccc32)cc1F,Cl[Pd]Cl,CN(C)C=O,CO,[Fe+2].c1ccc(P(c2ccccc2)[c-]2cccc2)cc1.c1ccc(P(c2ccccc2)[c-]2cccc2)cc1,O=C([O-])[O-].[K+].[K+],28.6,test
Cn1cc2c(B(O)O)cccc2n1.O=c1cnc2ccccc2n1Cc1c(F)cc(Br)cc1F>>Cn1cc2c(-c3cc(F)c(Cn4c(=O)cnc5ccccc54)c(F)c3)cccc2n1,Cl[Pd]Cl,C1CCOC1,O,[Fe+2].c1ccc(P(c2ccccc2)[c-]2cccc2)cc1.c1ccc(P(c2ccccc2)[c-]2cccc2)cc1,O=C([O-])[O-].[Cs+].[Cs+],71.0,test
Brc1ccoc1-c1ccncc1.CON=C1CCc2cc(B(O)O)ccc21>>CON=C1CCc2cc(-c3ccoc3-c3ccncc3)ccc21,CC(=O)[O-].CC(=O)[O-].[Pd+2],COCCOC,O,c1ccc(P(c2ccccc2)c2ccccc2)cc1,O=C([O-])[O-].[K+].[K+],60.9,test
COC(=O)c1ccc(C(=O)N[C@H](C)c2ccc(Br)cc2)s1.OB(O)c1cccs1>>COC(=O)c1ccc(C(=O)N[C@H](C)c2ccc(-c3cccs3)cc2)s1,[Pd],CCO,COCCOC,c1ccc(P(c2ccccc2)c2ccccc2)cc1,O=C([O-])[O-].[Cs+].[Cs+],49.9,test
COc1cc(Nc2nc3c(s2)CCCC3c2ccccc2)ccc1Br.Cc1cc(B(O)O)ccn1>>COc1cc(Nc2nc3c(s2)CCCC3c2ccccc2)ccc1-c1ccnc(C)c1,c1ccc([P](c2ccccc2)(c2ccccc2)[Pd]([P](c2ccccc2)(c2ccccc2)c2ccccc2)([P](c2ccccc2)(c2ccccc2)c2ccccc2)[P](c2ccccc2)(c2ccccc2)c2ccccc2)cc1,COCCOC,O,,O=C([O-])[O-].[Cs+].[Cs+],35.0,test
FC(F)c1cc(Cl)nc2c1c(I)nn2C1CCCCO1.OB(O)c1cccnc1>>FC(F)c1cc(Cl)nc2c1c(-c1cccnc1)nn2C1CCCCO1,c1ccc([P](c2ccccc2)(c2ccccc2)[Pd]([P](c2ccccc2)(c2ccccc2)c2ccccc2)([P](c2ccccc2)(c2ccccc2)c2ccccc2)[P](c2ccccc2)(c2ccccc2)c2ccccc2)cc1,COCCOC,O,,O=P([O-])([O-])[O-].[K+].[K+].[K+],73.4,train
Brc1csc(Br)n1.OB(O)c1cccc(F)n1>>Fc1cccc(-c2nc(Br)cs2)n1,[Pd],CCO,Cc1ccccc1,c1ccc(P(c2ccccc2)c2ccccc2)cc1,O=C([O-])[O-].[K+].[K+],24.12,test
CCOC(=O)c1cccc(Nc2c(C(N)=O)cnc3cc(Br)ccc23)c1.OB(O)c1cncnc1>>CCOC(=O)c1cccc(Nc2c(C(N)=O)cnc3cc(-c4cncnc4)ccc23)c1,c1ccc([P](c2ccccc2)(c2ccccc2)[Pd]([P](c2ccccc2)(c2ccccc2)c2ccccc2)([P](c2ccccc2)(c2ccccc2)c2ccccc2)[P](c2ccccc2)(c2ccccc2)c2ccccc2)cc1,C1COCCO1,O,,O=C([O-])[O-].[K+].[K+],66.1,train
CN(C(=O)c1ccc(Br)s1)c1cccc(C(F)(F)F)c1.COc1cccc(B(O)O)c1>>COc1cccc(-c2ccc(C(=O)N(C)c3cccc(C(F)(F)F)c3)s2)c1,[Pd],,,c1ccc(P(c2ccccc2)c2ccccc2)cc1,,89.7,test
Brc1ccccn1.O=[N+]([O-])c1cc(B(O)O)ccc1Cl>>O=[N+]([O-])c1cc(-c2ccccn2)ccc1Cl,c1ccc([P](c2ccccc2)(c2ccccc2)[Pd]([P](c2ccccc2)(c2ccccc2)c2ccccc2)([P](c2ccccc2)(c2ccccc2)c2ccccc2)[P](c2ccccc2)(c2ccccc2)c2ccccc2)cc1,O,,,O=C([O-])O.[Na+],57.3,train
CC(C)(C)OC(=O)c1cc(Br)c(Br)o1.COc1cc(B(O)O)ccc1Cl>>COc1cc(-c2oc(C(=O)OC(C)(C)C)cc2Br)ccc1Cl,CC(=O)[O-].CC(=O)[O-].[Pd+2],COCCOC,O,c1ccc(P(c2ccccc2)c2ccccc2)cc1,O=C([O-])[O-].[K+].[K+],42.35,test
Brc1ccc(I)nc1.OB(O)c1ccc(N(c2ccccc2)c2ccccc2)cc1>>Brc1ccc(-c2ccc(N(c3ccccc3)c3ccccc3)cc2)nc1,c1ccc([P](c2ccccc2)(c2ccccc2)[Pd]([P](c2ccccc2)(c2ccccc2)c2ccccc2)([P](c2ccccc2)(c2ccccc2)c2ccccc2)[P](c2ccccc2)(c2ccccc2)c2ccccc2)cc1,C1CCOC1,O,,O=C([O-])[O-].[Na+].[Na+],98.1,train
CC(C)(C)OC(=O)N1CCc2cc3c(cc2C1Cc1ccc(Br)cc1)OCO3.COc1ccncc1B(O)O>>COc1ccncc1-c1ccc(CC2c3cc4c(cc3CCN2C(=O)OC(C)(C)C)OCO4)cc1,CC(=O)[O-].CC(=O)[O-].[Pd+2],CC(C)O,O,c1ccc(P(c2ccccc2)c2ccccc2)cc1,O=C([O-])[O-].[Na+].[Na+],35.0,test
CNC(=O)c1cnc(N2CCN(C)CC2)cc1I.Cc1ccccc1B(O)O>>CNC(=O)c1cnc(N2CCN(C)CC2)cc1-c1ccccc1C,c1ccc([P](c2ccccc2)(c2ccccc2)[Pd]([P](c2ccccc2)(c2ccccc2)c2ccccc2)([P](c2ccccc2)(c2ccccc2)c2ccccc2)[P](c2ccccc2)(c2ccccc2)c2ccccc2)cc1,Cc1ccccc1,,,O=C([O-])[O-].[Na+].[Na+],62.9,train
CC(C)OC(=O)c1c(I)ccnc1Cl.OB(O)c1ccccc1>>CC(C)OC(=O)c1c(-c2ccccc2)ccnc1Cl,CC(=O)[O-].CC(=O)[O-].[Pd+2],C1COCCO1,,c1ccc(P(c2ccccc2)c2ccccc2)cc1,O=C([O-])[O-].[K+].[K+],83.5,test
Cc1cc(C)c(CNC(=O)c2cc(Br)cc3c2cnn3C2CCCC2)c(=O)[nH]1.O=Cc1ccc(B(O)O)o1>>Cc1cc(C)c(CNC(=O)c2cc(-c3ccc(C=O)o3)cc3c2cnn3C2CCCC2)c(=O)[nH]1,c1ccc([P](c2ccccc2)(c2ccccc2)[Pd]([P](c2ccccc2)(c2ccccc2)c2ccccc2)([P](c2ccccc2)(c2ccccc2)c2ccccc2)[P](c2ccccc2)(c2ccccc2)c2ccccc2)cc1,C1COCCO1,O,,O=C([O-])[O-].[Cs+].[Cs+],43.5,test
Brc1cccc(I)c1.OB(O)c1cccc(-n2c3ccccc3c3ccccc32)c1>>Brc1cccc(-c2cccc(-n3c4ccccc4c4ccccc43)c2)c1,CC(=O)[O-].CC(=O)[O-].[Pd+2],CCO,Cc1ccccc1,Cc1ccccc1P(c1ccccc1C)c1ccccc1C,O=C([O-])[O-].[K+].[K+],58.0,test
CC(C)(C)OC(=O)COc1ncc(Br)cc1[N+](=O)[O-].Cc1cc(B(O)O)ccn1>>Cc1cc(-c2cnc(OCC(=O)OC(C)(C)C)c([N+](=O)[O-])c2)ccn1,[Pd].[Pd],,,CC(C)c1cc(C(C)C)c(-c2ccccc2P(C2CCCCC2)C2CCCCC2)c(C(C)C)c1.O=C(/C=C/c1ccccc1)/C=C/c1ccccc1,O=P([O-])([O-])[O-].[K+].[K+].[K+],56.0,test
CCS(=O)(=O)NC(c1cncc(Br)c1)C1CC1.OB(O)c1ccccc1Cl>>CCS(=O)(=O)NC(c1cncc(-c2ccccc2Cl)c1)C1CC1,Cl[Pd](Cl)([P](c1ccccc1)(c1ccccc1)c1ccccc1)[P](c1ccccc1)(c1ccccc1)c1ccccc1,CN(C)C=O,,,O=C([O-])[O-].[Na+].[Na+],22.2,train
CN(Cc1cc(Br)n(S(=O)(=O)c2cccnc2)c1)C(=O)OC(C)(C)C.OB(O)c1ccncc1F>>CN(Cc1cc(-c2ccncc2F)n(S(=O)(=O)c2cccnc2)c1)C(=O)OC(C)(C)C,c1ccc([P](c2ccccc2)(c2ccccc2)[Pd]([P](c2ccccc2)(c2ccccc2)c2ccccc2)([P](c2ccccc2)(c2ccccc2)c2ccccc2)[P](c2ccccc2)(c2ccccc2)c2ccccc2)cc1,COCCOC,O,,O=C([O-])O.[Na+],26.95,test
C[C@H](Nc1ncnc(N)c1C#N)c1nc2ccc(F)c(Br)c2n1C1CC1.OB(O)c1cccnc1>>C[C@H](Nc1ncnc(N)c1C#N)c1nc2ccc(F)c(-c3cccnc3)c2n1C1CC1,c1ccc([P](c2ccccc2)(c2ccccc2)[Pd]([P](c2ccccc2)(c2ccccc2)c2ccccc2)([P](c2ccccc2)(c2ccccc2)c2ccccc2)[P](c2ccccc2)(c2ccccc2)c2ccccc2)cc1,C1COCCO1,O,,O=C([O-])[O-].[Cs+].[Cs+],43.35,train
CCCc1cc(Br)n(-c2ccc(OC)cc2)n1.Cc1noc(C)c1B(O)O>>CCCc1cc(-c2c(C)noc2C)n(-c2ccc(OC)cc2)n1,c1ccc([P](c2ccccc2)(c2ccccc2)[Pd]([P](c2ccccc2)(c2ccccc2)c2ccccc2)([P](c2ccccc2)(c2ccccc2)c2ccccc2)[P](c2ccccc2)(c2ccccc2)c2ccccc2)cc1,C1COCCO1,,,O=C([O-])[O-].O=C([O-])[O-].[K+].[K+].[Na+].[Na+],58.95,train
Nc1cncc(Br)c1.OB(O)c1ccoc1>>Nc1cncc(-c2ccoc2)c1,Cl[Pd](Cl)([P](c1ccccc1)(c1ccccc1)c1ccccc1)[P](c1ccccc1)(c1ccccc1)c1ccccc1,CC#N,O,,O=C([O-])[O-].[Na+].[Na+],62.2,test
COc1ccc(B(O)O)cc1.COc1ccc2c(=O)n(-c3ccc(C=O)cc3)cc(Br)c2c1>>COc1ccc(-c2cn(-c3ccc(C=O)cc3)c(=O)c3ccc(OC)cc23)cc1,c1ccc([P](c2ccccc2)(c2ccccc2)[Pd]([P](c2ccccc2)(c2ccccc2)c2ccccc2)([P](c2ccccc2)(c2ccccc2)c2ccccc2)[P](c2ccccc2)(c2ccccc2)c2ccccc2)cc1,,,,O=C([O-])[O-].[K+].[K+],90.9,train
O=Cc1cc(Br)c(S(=O)(=O)c2cccnc2)s1.OB(O)c1ccccc1F>>O=Cc1cc(-c2ccccc2F)c(S(=O)(=O)c2cccnc2)s1,c1ccc([P](c2ccccc2)(c2ccccc2)[Pd]([P](c2ccccc2)(c2ccccc2)c2ccccc2)([P](c2ccccc2)(c2ccccc2)c2ccccc2)[P](c2ccccc2)(c2ccccc2)c2ccccc2)cc1,COCCOC,O,,O=C([O-])O.[Na+],87.0,test
Nc1ccc(I)cn1.OB(O)c1ccccc1>>Nc1ccc(-c2ccccc2)cn1,[Pd].[Pd].[Pd].[Pd],Cc1ccccc1,O,c1ccc(P(c2ccccc2)c2ccccc2)cc1,O=C([O-])[O-].[Na+].[Na+],28.0,train
Brc1cnc(I)nc1.CCCCCCCCOc1ccc(B(O)O)cc1>>CCCCCCCCOc1ccc(-c2ncc(Br)cn2)cc1,c1ccc([P](c2ccccc2)(c2ccccc2)[Pd]([P](c2ccccc2)(c2ccccc2)c2ccccc2)([P](c2ccccc2)(c2ccccc2)c2ccccc2)[P](c2ccccc2)(c2ccccc2)c2ccccc2)cc1,COCCOC,,,O=C([O-])[O-].[Na+].[Na+],43.0,test
CN(C)c1ccc(B(O)O)cn1.O=C1N(C[C@H]2CCCO2)c2cccc(Br)c2C12COc1cc3c(cc12)CCO3>>CN(C)c1ccc(-c2cccc3c2C2(COc4cc5c(cc42)CCO5)C(=O)N3C[C@H]2CCCO2)cn1,c1ccc([P](c2ccccc2)(c2ccccc2)[Pd]([P](c2ccccc2)(c2ccccc2)c2ccccc2)([P](c2ccccc2)(c2ccccc2)c2ccccc2)[P](c2ccccc2)(c2ccccc2)c2ccccc2)cc1,CN(C)C=O,O,,O=C([O-])[O-].[Na+].[Na+],74.4,train
CCc1ccc(C=O)cc1Br.OB(O)c1cccnc1>>CCc1ccc(C=O)cc1-c1cccnc1,c1ccc([P](c2ccccc2)(c2ccccc2)[Pd]([P](c2ccccc2)(c2ccccc2)c2ccccc2)([P](c2ccccc2)(c2ccccc2)c2ccccc2)[P](c2ccccc2)(c2ccccc2)c2ccccc2)cc1,CCOC(C)=O,Cc1ccccc1,,O=C([O-])O.O=C([O-])[O-].[Na+].[Na+].[Na+],49.4,test
CN(Cc1cc(Br)c(S(=O)(=O)c2cccc(F)c2)s1)C(=O)OC(C)(C)C.OB(O)c1cccnc1F>>CN(Cc1cc(-c2cccnc2F)c(S(=O)(=O)c2cccc(F)c2)s1)C(=O)OC(C)(C)C,c1ccc([P](c2ccccc2)(c2ccccc2)[Pd]([P](c2ccccc2)(c2ccccc2)c2ccccc2)([P](c2ccccc2)(c2ccccc2)c2ccccc2)[P](c2ccccc2)(c2ccccc2)c2ccccc2)cc1,COCCOC,O,,O=C([O-])[O-].[Na+].[Na+],45.05,test
COc1ncc(B(O)O)c(OC)n1.Cc1nc(C)c(I)o1>>COc1ncc(-c2oc(C)nc2C)c(OC)n1,CC(=O)[O-].CC(=O)[O-].[Pd+2],CCCO,,c1ccc(P(c2ccccc2)c2ccccc2)cc1,O=C([O-])[O-].[Na+].[Na+],66.55,test
CN1CCC[C@H]1COc1cncc(Br)c1.OB(O)c1cccc2ccccc12>>CN1CCC[C@H]1COc1cncc(-c2cccc3ccccc23)c1,c1ccc([P](c2ccccc2)(c2ccccc2)[Pd]([P](c2ccccc2)(c2ccccc2)c2ccccc2)([P](c2ccccc2)(c2ccccc2)c2ccccc2)[P](c2ccccc2)(c2ccccc2)c2ccccc2)cc1,O,c1ccccc1,,O=C([O-])O.O=C([O-])[O-].[Na+].[Na+].[Na+],61.8,train
COC(=O)c1cnc2c(c1)c(C1CCCCC1)c(Br)n2CC(=O)OC(C)(C)C.OB(O)c1ccccc1>>COC(=O)c1cnc2c(c1)c(C1CCCCC1)c(-c1ccccc1)n2CC(=O)OC(C)(C)C,c1ccc([P](c2ccccc2)(c2ccccc2)[Pd]([P](c2ccccc2)(c2ccccc2)c2ccccc2)([P](c2ccccc2)(c2ccccc2)c2ccccc2)[P](c2ccccc2)(c2ccccc2)c2ccccc2)cc1,Cc1ccccc1,,,O=P([O-])([O-])[O-].[K+].[K+].[K+],70.0,train
CC(C)(C)OC(=O)N1CCN(c2nc(-c3ccnc4c3c(Br)cn4S(=O)(=O)c3ccccc3)nc3cncc(C4CC4)c23)CC1.OB(O)c1ccccc1>>CC(C)(C)OC(=O)N1CCN(c2nc(-c3ccnc4c3c(-c3ccccc3)cn4S(=O)(=O)c3ccccc3)nc3cncc(C4CC4)c23)CC1,Cl[Pd]Cl,,,[Fe+2].c1ccc(P(c2ccccc2)[c-]2cccc2)cc1.c1ccc(P(c2ccccc2)[c-]2cccc2)cc1,O=P([O-])([O-])[O-].[K+].[K+].[K+],40.55,test
COc1ccc(B(O)O)cc1.COc1ccccc1-c1nnc2ccc(Br)cn12>>COc1ccc(-c2ccc3nnc(-c4ccccc4OC)n3c2)cc1,c1ccc([P](c2ccccc2)(c2ccccc2)[Pd]([P](c2ccccc2)(c2ccccc2)c2ccccc2)([P](c2ccccc2)(c2ccccc2)c2ccccc2)[P](c2ccccc2)(c2ccccc2)c2ccccc2)cc1,C1COCCO1,O,,O=C([O-])[O-].[Cs+].[Cs+],84.35,train
CCOC(=O)c1cc(-c2ccnc(N)n2)[nH]c1Br.OB(O)c1cc(C(F)(F)F)ccc1Cl>>CCOC(=O)c1cc(-c2ccnc(N)n2)[nH]c1-c1cc(C(F)(F)F)ccc1Cl,Cl[Pd](Cl)([P](c1ccccc1)(c1ccccc1)c1ccccc1)[P](c1ccccc1)(c1ccccc1)c1ccccc1,CCO,Cc1ccccc1,,O=C([O-])[O-].[Na+].[Na+],81.9,test
CC(=O)NC(C)(C)c1ccc(I)nc1.OB(O)c1ccc(Br)cc1>>CC(=O)NC(C)(C)c1ccc(-c2ccc(Br)cc2)nc1,c1ccc([P](c2ccccc2)(c2ccccc2)[Pd]([P](c2ccccc2)(c2ccccc2)c2ccccc2)([P](c2ccccc2)(c2ccccc2)c2ccccc2)[P](c2ccccc2)(c2ccccc2)c2ccccc2)cc1,C1COCCO1,,,O=C([O-])[O-].[Na+].[Na+],75.0,train
Brc1nn2c(I)cnc2s1.O=S(=O)(c1ccc(B(O)O)cc1)N1CCOCC1>>O=S(=O)(c1ccc(-c2nn3c(I)cnc3s2)cc1)N1CCOCC1,Cl[Pd](Cl)([P](c1ccccc1)(c1ccccc1)c1ccccc1)[P](c1ccccc1)(c1ccccc1)c1ccccc1,C1COCCO1,,,O=C([O-])[O-].[Na+].[Na+],36.75,train
